Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Tortuga Bay,Otro,2025 - Q3,0.1111111111111111,207.0,37.0,45.0,23.0,24072456.521739,127162.72393201583,189.30434782608697,,Tuga,45.0,23.0,22.0,24.072456521739,127.16272393201582,189.30434782608697,0.1111111111111111,37.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Marina Place,Baja Capstone,2025 - Q3,0.1111111111111111,351.0,28.0,42.0,39.0,12235381.407692,85715.80292796623,142.74358974358975,,OneM,42.0,39.0,3.0,12.235381407692,85.71580292796622,142.74358974358975,0.1111111111111111,28.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santarena,Otro,2025 - Q3,2.4285714285714284,9.470588235294118,7.0,40.0,23.0,8811007.6173913,84273.08593100232,104.55304347826086,,Rena,40.0,23.0,17.0,8.811007617391299,84.27308593100233,104.55304347826086,2.4285714285714284,7.0,9.470588235294118,,,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346,0.5933223864258346
Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35.0,5.0,9545280.0,88303.73001776199,108.096,,Walk,35.0,5.0,30.0,9.54528,88.30373001776199,108.096,0.7777777777777778,21.0,6.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0,0.0,49.0,35.0,1.0,5668425.0,58960.11025587685,96.14,,Colo,35.0,1.0,34.0,5.668425,58.96011025587685,96.14,0.0,49.0,0.0,,ID,Nima,Hide,Cora,Duna,Ceni,Mare,Vita,Alan,Puma,Cany,Tuga,OneM,Rena,Walk,Colo,Weli,Lana,Mura,Cosu,Vera,Suse,Nort,Hils,Nola,Rese,Avit,Emma,Para,Vale
Wen Living,Awen Developers,2025 - Q3,0.5555555555555556,14.399999999999999,41.0,33.0,8.0,20007618.75,101299.26965723255,197.51,,Weli,33.0,8.0,25.0,20.00761875,101.29926965723256,197.51,0.5555555555555556,41.0,14.399999999999999,,Stock Inicial,93,85,66,65,59,50,48,47,47,45,45,42,40,35,35,33,30,28,26,22,22,20,20,16,16,16,16,14,12
Larena F.1,Otro,2025 - Q3,0.1111111111111111,207.0,17.0,30.0,23.0,31062260.869565,112888.17397652191,275.15956521739133,,Lana,30.0,23.0,7.0,31.062260869564998,112.88817397652191,275.15956521739133,0.1111111111111111,17.0,207.0,,Inventario,37,75,2,42,26,14,48,40,2,22,23,39,23,5,1,8,23,24,14,3,14,6,9,6,5,16,3,13,10
Muralla,Grupo Troy,2025 - Q3,0.6666666666666666,36.0,6.0,28.0,24.0,27296864.583333,107928.29489291467,252.91666666666666,,Mura,28.0,24.0,4.0,27.296864583333,107.92829489291466,252.91666666666666,0.6666666666666666,6.0,36.0,,Ventas ,56,10,64,23,33,36,0,7,45,23,22,3,17,30,34,25,7,4,12,19,8,14,11,10,11,0,13,1,2
Cora Sur,Grupo Habitat,2025 - Q3,0.2222222222222222,63.0,16.0,26.0,14.0,10337928.814286,74682.91247407245,138.42428571428573,,Cosu,26.0,14.0,12.0,10.337928814285998,74.68291247407245,138.42428571428573,0.2222222222222222,16.0,63.0,,Ticket ($M),10.149575675676,7.237248376000026,20.2214817,21.153086187571,16.223427,12.282290742857,7.297544375,6.6922400025,12.1146,16.17143304587809,24.072456521739,12.235381407692,8.811007617391299,9.54528,5.668425,20.00761875,31.062260869564998,27.296864583333,10.337928814285998,77.775,6.7757736857143,90.1275,8.8433733333333,12.7765964,45.8232,10.8580190625,68.747,7.6817769230768995,57.03195
Verandas,Otro,2025 - Q3,0.1111111111111111,27.0,113.0,22.0,3.0,77775000.0,217613.3184107443,357.3999999999999,,Vera,22.0,3.0,19.0,77.775,217.6133184107443,357.3999999999999,0.1111111111111111,113.0,27.0,,$xm2 ($k),78.0678161301882,68.47929867190508,64.57442663260419,101.68588987959048,77.31331967213114,56.75903707200107,65.02118540243544,65.5692153433516,100.88354082524877,81.1152592360506,127.16272393201582,85.71580292796622,84.27308593100233,88.30373001776199,58.96011025587685,101.29926965723256,112.88817397652191,107.92829489291466,74.68291247407245,217.6133184107443,54.54906935020138,144.89951768488746,67.49178298254812,101.03936734720776,142.30807453416148,66.3604366011574,185.92832995267074,61.609661299278,201.1354258508199
Sun & Sea condos,Construyendo Alkimia,2025 - Q3,0,0.0,33.0,22.0,14.0,6775773.6857143,54549.06935020138,124.21428571428571,,Suse,22.0,14.0,8.0,6.7757736857143,54.54906935020138,124.21428571428571,0.0,33.0,0.0,,Superficie,130.00972972972968,105.68520000000004,313.15,208.02380952380952,209.84,216.39357142857148,112.23333333333328,102.06374999999996,120.08500000000001,199.36363636363637,189.30434782608697,142.74358974358975,104.55304347826086,108.096,96.14,197.51,275.15956521739133,252.91666666666666,138.42428571428573,357.3999999999999,124.21428571428571,622,131.0288888888889,126.45166666666667,322,163.621875,369.75,124.68461538461537,283.55000000000007
