Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-12528,Casa Nima,Central de Arquitectura,Tradicional,1 bed condo,7333889.72,79716.19260869565,92,1 Recámara,1,1,20,1,38,19,0.5
CAB-12526,Nolah,Baja Capstone,Tradicional,1R,7062560.7633,123904.57479473684,57,1 Recámara,1,1,4,0,9,4,0.4444444444444444
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo A,3860096.9788999995,72832.01846981132,53,1 Recámara,1,1,2,1,9,1,0.1111111111111111
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo B,4699509.141,70141.92747761194,67,1 Recámara,1,1,4,2,9,2,0.2222222222222222
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo F,7231349.4961875,59763.218976756194,121,1 Recámara,1,1,3,2,9,1,0.1111111111111111
CAB-09879,Hideaways,Otro,Tradicional,1R Loft,5163445.326695651,75933.01951023017,68,1 Recámara,1,1,18,17,10,1,0.1
CAB-09878,Hideaways,Otro,Loft,1R Loft,5258695.077821427,77333.75114443275,68,1 Recámara,1,1,6,5,10,1,0.1
CAB-08415,Laiva Art Walk,Otro,Penthouse,1R PH,8381251.004545453,106091.78486766396,79,1 Recámara,1,1,3,0,21,3,0.14285714285714285
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R GARDEN,7853032.449999999,80132.98418367346,98,1 Recámara,1,1,1,0,21,1,0.047619047619047616
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R STANDAD,8203303.924827587,102541.29906034484,80,1 Recámara,1,1,8,2,21,6,0.2857142857142857
CAB-05662,Sun & Sea condos,Construyendo Alkimia,Loft,Studio,3216518.922004342,55457.22279317831,58,1 Recámara,1,1,6,2,33,4,0.12121212121212122
