Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Punto Nima,Fortem Capital,2025 - Q3,0.4444444444444444,4.5,58.0,47.0,2.0,12114600.0,100883.54082524877,120.08500000000001,,Puma,47.0,2.0,45.0,12.1146,100.88354082524877,120.08500000000001,0.4444444444444444,58.0,4.5,,ID,Nort,Vera,Emma,Vale,Rese,Lana,Mura,Tuga,Duna,Cora,Weli,Ceni,Cany,Nola,Mare,OneM,Puma,Avit,Cosu,Nima,Walk,Hils,Rena,Para,Vita,Hide,Suse,Alan,Colo
Avita Living San Jose T. Agave,Otro,2025 - Q3,0,0.0,7.0,16.0,16.0,10858019.0625,66360.4366011574,163.621875,,Avit,16.0,16.0,0.0,10.8580190625,66.3604366011574,163.621875,0.0,7.0,0.0,,Stock Inicial,20,22,16,12,16,30,28,45,65,66,33,59,45,16,50,42,47,16,26,93,35,20,40,14,48,85,22,47,35
Cora Sur,Grupo Habitat,2025 - Q3,0.2222222222222222,63.0,16.0,26.0,14.0,10337928.814286,74682.91247407245,138.42428571428573,,Cosu,26.0,14.0,12.0,10.337928814285998,74.68291247407245,138.42428571428573,0.2222222222222222,16.0,63.0,,Inventario,6,3,3,10,5,23,24,23,42,2,8,26,22,6,14,39,2,16,14,37,5,9,23,13,48,75,14,40,1
Casa Nima,Central de Arquitectura,2025 - Q3,0.4444444444444444,83.25,38.0,93.0,37.0,10149575.675676,78067.8161301882,130.00972972972968,,Nima,93.0,37.0,56.0,10.149575675676,78.0678161301882,130.00972972972968,0.4444444444444444,38.0,83.25,,Ventas ,14,19,13,2,11,7,4,22,23,64,25,33,23,10,36,3,45,0,12,56,30,11,17,1,0,10,8,7,34
Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35.0,5.0,9545280.0,88303.73001776199,108.096,,Walk,35.0,5.0,30.0,9.54528,88.30373001776199,108.096,0.7777777777777778,21.0,6.428571428571429,,Ticket ($M),90.1275,77.775,68.747,57.03195,45.8232,31.062260869564998,27.296864583333,24.072456521739,21.153086187571,20.2214817,20.00761875,16.223427,16.17143304587809,12.7765964,12.282290742857,12.235381407692,12.1146,10.8580190625,10.337928814285998,10.149575675676,9.54528,8.8433733333333,8.811007617391299,7.6817769230768995,7.297544375,7.237248376000026,6.7757736857143,6.6922400025,5.668425
Colorado Hills Fase II,Si Soluciones Inmobiliarias,2025 - Q3,0.1111111111111111,81.0,36.0,20.0,9.0,8843373.3333333,67491.78298254812,131.0288888888889,,Hils,20.0,9.0,11.0,8.8433733333333,67.49178298254812,131.0288888888889,0.1111111111111111,36.0,81.0,,$xm2 ($k),144.89951768488746,217.6133184107443,185.92832995267074,201.1354258508199,142.30807453416148,112.88817397652191,107.92829489291466,127.16272393201582,101.68588987959048,64.57442663260419,101.29926965723256,77.31331967213114,81.1152592360506,101.03936734720776,56.75903707200107,85.71580292796622,100.88354082524877,66.3604366011574,74.68291247407245,78.0678161301882,88.30373001776199,67.49178298254812,84.27308593100233,61.609661299278,65.02118540243544,68.47929867190508,54.54906935020138,65.5692153433516,58.96011025587685
Santarena,Otro,2025 - Q3,2.4285714285714284,9.470588235294118,7.0,40.0,23.0,8811007.6173913,84273.08593100232,104.55304347826086,,Rena,40.0,23.0,17.0,8.811007617391299,84.27308593100233,104.55304347826086,2.4285714285714284,7.0,9.470588235294118,,Superficie,622,357.3999999999999,369.75,283.55000000000007,322,275.15956521739133,252.91666666666666,189.30434782608697,208.02380952380952,313.15,197.51,209.84,199.36363636363637,126.45166666666667,216.39357142857148,142.74358974358975,120.08500000000001,163.621875,138.42428571428573,130.00972972972968,108.096,131.0288888888889,104.55304347826086,124.68461538461537,112.23333333333328,105.68520000000004,124.21428571428571,102.06374999999996,96.14
Paramo,Otro,2025 - Q3,0.1111111111111111,117.0,12.0,14.0,13.0,7681776.9230769,61609.661299278,124.68461538461537,,Para,14.0,13.0,1.0,7.6817769230768995,61.609661299278,124.68461538461537,0.1111111111111111,12.0,117.0,,Absorción 2025,0.2222222222222222,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111,2.5555555555555554,0.2222222222222222,0.5555555555555556,1.6666666666666667,2.5555555555555554,1.1111111111111112,0.7777777777777778,0.1111111111111111,0.4444444444444444,0,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.1111111111111111,2.4285714285714284,0.1111111111111111,0,1,0,0.7777777777777778,0
Vitai T1,Otro,2025 - Q3,0,0.0,1.0,48.0,48.0,7297544.375,65021.18540243543,112.23333333333328,,Vita,48.0,48.0,0.0,7.297544375,65.02118540243544,112.23333333333328,0.0,1.0,0.0,,Meses Mercado,46,113,29,33,20,17,6,37,9,45,41,46,9,9,24,28,58,7,16,38,21,36,7,12,1,10,33,9,49
Hideaways,Otro,2025 - Q3,1,75.0,10.0,85.0,75.0,7237248.376000026,68479.29867190508,105.68520000000004,,Hide,85.0,75.0,10.0,7.237248376000026,68.47929867190508,105.68520000000004,1.0,10.0,75.0,,Meses de Inv.,27,27,0,0,45,207,36,207,16.434782608695652,9,14.399999999999999,15.6,8.608695652173914,5.3999999999999995,18,351,4.5,0,63,83.25,6.428571428571429,81,9.470588235294118,117,0,75,0,51.42857142857143,0
Sun & Sea condos,Construyendo Alkimia,2025 - Q3,0,0.0,33.0,22.0,14.0,6775773.6857143,54549.06935020138,124.21428571428571,,Suse,22.0,14.0,8.0,6.7757736857143,54.54906935020138,124.21428571428571,0.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alana Cerro Colorado,Grupo VEQ,2025 - Q3,0.7777777777777778,51.42857142857143,9.0,47.0,40.0,6692240.0025,65569.2153433516,102.06374999999996,,Alan,47.0,40.0,7.0,6.6922400025,65.5692153433516,102.06374999999996,0.7777777777777778,9.0,51.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0,0.0,49.0,35.0,1.0,5668425.0,58960.11025587685,96.14,,Colo,35.0,1.0,34.0,5.668425,58.96011025587685,96.14,0.0,49.0,0.0,,ID,Nort,Vera,Emma,Vale,Rese,Lana,Mura,Tuga,Duna,Cora,Weli,Ceni,Cany,Nola,Mare,OneM,Puma,Avit,Cosu,Nima,Walk,Hils,Rena,Para,Vita,Hide,Suse,Alan,Colo
,,,,,,,,,,,,,,,,,,,,,,,Stock Inicial,20,22,16,12,16,30,28,45,65,66,33,59,45,16,50,42,47,16,26,93,35,20,40,14,48,85,22,47,35
,,,,,,,,,,,,,,,,,,,,,,,Inventario,6,3,3,10,5,23,24,23,42,2,8,26,22,6,14,39,2,16,14,37,5,9,23,13,48,75,14,40,1
,,,,,,,,,,,,,,,,,,,,,,,Ventas ,14,19,13,2,11,7,4,22,23,64,25,33,23,10,36,3,45,0,12,56,30,11,17,1,0,10,8,7,34
,,,,,,,,,,,,,,,,,,,,,,,Ticket ($M),90.1275,77.775,68.747,57.03195,45.8232,31.062260869564998,27.296864583333,24.072456521739,21.153086187571,20.2214817,20.00761875,16.223427,16.17143304587809,12.7765964,12.282290742857,12.235381407692,12.1146,10.8580190625,10.337928814285998,10.149575675676,9.54528,8.8433733333333,8.811007617391299,7.6817769230768995,7.297544375,7.237248376000026,6.7757736857143,6.6922400025,5.668425
,,,,,,,,,,,,,,,,,,,,,,,$xm2 ($k),144.89951768488746,217.6133184107443,185.92832995267074,201.1354258508199,142.30807453416148,112.88817397652191,107.92829489291466,127.16272393201582,101.68588987959048,64.57442663260419,101.29926965723256,77.31331967213114,81.1152592360506,101.03936734720776,56.75903707200107,85.71580292796622,100.88354082524877,66.3604366011574,74.68291247407245,78.0678161301882,88.30373001776199,67.49178298254812,84.27308593100233,61.609661299278,65.02118540243544,68.47929867190508,54.54906935020138,65.5692153433516,58.96011025587685
,,,,,,,,,,,,,,,,,,,,,,,Superficie,622,357.3999999999999,369.75,283.55000000000007,322,275.15956521739133,252.91666666666666,189.30434782608697,208.02380952380952,313.15,197.51,209.84,199.36363636363637,126.45166666666667,216.39357142857148,142.74358974358975,120.08500000000001,163.621875,138.42428571428573,130.00972972972968,108.096,131.0288888888889,104.55304347826086,124.68461538461537,112.23333333333328,105.68520000000004,124.21428571428571,102.06374999999996,96.14
,,,,,,,,,,,,,,,,,,,,,,,Absorción,0.2222222222222222,0.1111111111111111,0,0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.1111111111111111,2.5555555555555554,0.2222222222222222,0.5555555555555556,1.6666666666666667,2.5555555555555554,1.1111111111111112,0.7777777777777778,0.1111111111111111,0.4444444444444444,0,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.1111111111111111,2.4285714285714284,0.1111111111111111,0,1,0,0.7777777777777778,0
,,,No modificar filtros,,,,,,,,,,,,,,,,,,,,Meses Mercado,46,113,29,33,20,17,6,37,9,45,41,46,9,9,24,28,58,7,16,38,21,36,7,12,1,10,33,9,49
,,,,,,,,,,,,,,,,,,,,,,,Meses de Inv.,27,27,0,0,45,207,36,207,16.434782608695652,9,14.399999999999999,15.6,8.608695652173914,5.3999999999999995,18,351,4.5,0,63,83.25,6.428571428571429,81,9.470588235294118,117,0,75,0,51.42857142857143,0
