Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-10281,Tortuga Bay,Otro,Tradicional,Residence J,27291428.571428567,123490.62702003877,221,2 Recámaras,2.0,2.0,1.0,0.0,37.0,1.0,0.02702702702702703
CAB-10281,Tortuga Bay,Otro,Tradicional,Residence K,44244000,137831.77570093458,321,3 Recámaras,3.0,2.0,1.0,0.0,37.0,1.0,0.02702702702702703
CAB-10281,Tortuga Bay,Otro,Tradicional,Residence N,25640882.53846154,111482.09799331105,230,3 Recámaras,3.0,2.0,2.0,2.0,37.0,0.0,0.0
CAB-10281,Tortuga Bay,Otro,Tradicional,Residence O,26412195.357142854,120055.43344155843,220,3 Recámaras,3.0,2.0,2.0,0.0,37.0,2.0,0.05405405405405406
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,2r 2.5,10641883.177846152,61513.77559448643,173,2 Recámaras,2.0,2.0,9.0,3.0,9.0,6.0,0.6666666666666666
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,2r 4,11822956.150633333,74828.8363964135,158,2 Recámaras,4.0,2.0,1.0,1.0,9.0,0.0,0.0
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4R 2.5,15974306.0373,78305.42175147058,204,4 Recámaras,2.0,2.0,1.0,1.0,9.0,0.0,0.0
CAB-10278,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4R 4,14861045.3355,65467.16006828194,227,4 Recámaras,4.0,2.0,5.0,2.0,9.0,3.0,0.3333333333333333
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo A,3860096.9788999995,72832.01846981132,53,1 Recámara,1.0,1.0,2.0,1.0,9.0,1.0,0.1111111111111111
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo B,4699509.141,70141.92747761194,67,1 Recámara,1.0,1.0,4.0,2.0,9.0,2.0,0.2222222222222222
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo C,5628345.201282353,68638.35611319944,82,2 Recámaras,2.0,2.0,12.0,10.0,9.0,2.0,0.2222222222222222
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo D,6283655.731045833,73065.76431448643,86,2 Recámaras,2.0,2.0,11.0,10.0,9.0,1.0,0.1111111111111111
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo E,7202631.850533332,67314.31636012459,107,3 Recámaras,3.0,2.0,6.0,6.0,9.0,0.0,0.0
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo F,7231349.4961875,59763.218976756194,121,1 Recámara,1.0,1.0,3.0,2.0,9.0,1.0,0.1111111111111111
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo G,8063408.87667857,59728.95464206348,135,2 Recámaras,2.0,2.0,6.0,6.0,9.0,0.0,0.0
CAB-10277,Alana Cerro Colorado,Grupo VEQ,Tradicional,Tipo H,9184699.817599999,56695.67788641975,162,3 Recámaras,2.0,2.0,3.0,3.0,9.0,0.0,0.0
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,2r 2.5,10491286.41555073,68570.49944804398,153,2 Recámaras,2.0,2.0,14.0,6.0,9.0,8.0,0.8888888888888888
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,3r 2,17095074.499533333,79883.52569875389,214,3 Recámaras,2.0,2.0,6.0,5.0,9.0,1.0,0.1111111111111111
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,3r 3.5,16889609.562149998,74403.56635308369,227,3 Recámaras,3.0,2.0,2.0,2.0,9.0,0.0,0.0
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4r 3.5,17004501.338499997,74909.6975264317,227,4 Recámaras,3.0,2.0,1.0,1.0,9.0,0.0,0.0
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,4r 4.5,15890971.2,76398.9,208,4 Recámaras,4.0,2.0,4.0,0.0,9.0,4.0,0.4444444444444444
CAB-10276,THE CANYON ENTRE PIEDRAS,Otro,Tradicional,5r 4,29330784.661099996,76782.15879869109,382,5 Recámaras,4.0,2.0,2.0,1.0,9.0,1.0,0.1111111111111111
CAB-10272,Cora Sur,Grupo Habitat,Garden House,Garden,10038235.685448797,73271.79332444377,137,2 Recámaras,2.0,2.0,6.0,3.0,16.0,3.0,0.1875
CAB-10272,Cora Sur,Grupo Habitat,Tradicional,Aqua,11322838.21859375,82049.55230865037,138,2 Recámaras,2.0,2.0,9.0,5.0,16.0,4.0,0.25
CAB-10272,Cora Sur,Grupo Habitat,Tradicional,Fairway,10388070.583950002,75275.87379673915,138,2 Recámaras,2.0,2.0,11.0,6.0,16.0,5.0,0.3125
CAB-10266,Dunna,Otro,Garden House,Modelo B GH,22991341.233333334,95399.7561549101,241,3 Recámaras,3.0,2.0,5.0,5.0,9.0,0.0,0.0
CAB-10266,Dunna,Otro,Garden House,Modelo C GH,33484941.133333337,78235.84376947042,428,4 Recámaras,4.0,2.0,2.0,2.0,9.0,0.0,0.0
CAB-10266,Dunna,Otro,Penthouse,Modelo B PH,33068583.466666665,95850.9665700483,345,3 Recámaras,3.0,2.0,4.0,4.0,9.0,0.0,0.0
CAB-10266,Dunna,Otro,Penthouse,Modelo C PH,48796288.449999996,103601.46167728236,471,4 Recámaras,4.0,2.0,2.0,0.0,9.0,2.0,0.2222222222222222
CAB-10266,Dunna,Otro,Tradicional,Modelo B,17498453.47071429,103541.14479712598,169,3 Recámaras,3.0,1.0,21.0,8.0,9.0,13.0,1.4444444444444444
CAB-10266,Dunna,Otro,Tradicional,Modelo C,23565437.48823529,99853.5486789631,236,4 Recámaras,4.0,2.0,8.0,5.0,9.0,3.0,0.3333333333333333
CAB-10266,Dunna,Otro,Tradicional,Modelo DPX,53495884.666666664,119945.92974588939,446,5 Recámaras,5.0,2.0,2.0,2.0,9.0,0.0,0.0
CAB-10266,Dunna,Otro,Tradicional,Modelo F,13771185.32861171,117702.43870608299,117,2 Recámaras,3.0,1.0,21.0,16.0,9.0,5.0,0.5555555555555556
CAB-10264,La Reserva,Tempo Development,Garden House,Garden,57103877.62755,115594.89398289473,494,3 Recámaras,3.0,2.0,4.0,0.0,20.0,4.0,0.2
CAB-10264,La Reserva,Tempo Development,Penthouse,Penthouse,52784213.60273429,163926.12920103816,322,3 Recámaras,3.0,2.0,4.0,2.0,20.0,2.0,0.1
