Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Dunna,Otro,2025 - Q3,2.5555555555555554,16.434782608695652,9.0,65.0,42.0,21153086.187571,101685.88987959048,208.02380952380952,,Duna,65.0,42.0,23.0,21.153086187571,101.68588987959048,208.02380952380952,2.5555555555555554,9.0,16.434782608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE CANYON ENTRE PIEDRAS,Otro,2025 - Q3,2.5555555555555554,8.608695652173914,9.0,45.0,22.0,16171433.04587809,81115.25923605061,199.36363636363637,,Cany,45.0,22.0,23.0,16.17143304587809,81.1152592360506,199.36363636363637,2.5555555555555554,9.0,8.608695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santarena,Otro,2025 - Q3,2.4285714285714284,9.470588235294118,7.0,40.0,23.0,8811007.6173913,84273.08593100232,104.55304347826086,,Rena,40.0,23.0,17.0,8.811007617391299,84.27308593100233,104.55304347826086,2.4285714285714284,7.0,9.470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenit,Baja Capstone,2025 - Q3,1.6666666666666667,15.6,46.0,59.0,26.0,16223427.0,77313.31967213114,209.84,,Ceni,59.0,26.0,33.0,16.223427,77.31331967213114,209.84,1.6666666666666667,46.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolah,Baja Capstone,2025 - Q3,1.1111111111111112,5.3999999999999995,9.0,16.0,6.0,12776596.4,101039.36734720776,126.45166666666667,,Nola,16.0,6.0,10.0,12.7765964,101.03936734720776,126.45166666666667,1.1111111111111112,9.0,5.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hideaways,Otro,2025 - Q3,1,75.0,10.0,85.0,75.0,7237248.376000026,68479.29867190508,105.68520000000004,,Hide,85.0,75.0,10.0,7.237248376000026,68.47929867190508,105.68520000000004,1.0,10.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alana Cerro Colorado,Grupo VEQ,2025 - Q3,0.7777777777777778,51.42857142857143,9.0,47.0,40.0,6692240.0025,65569.2153433516,102.06374999999996,,Alan,47.0,40.0,7.0,6.6922400025,65.5692153433516,102.06374999999996,0.7777777777777778,9.0,51.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35.0,5.0,9545280.0,88303.73001776199,108.096,,Walk,35.0,5.0,30.0,9.54528,88.30373001776199,108.096,0.7777777777777778,21.0,6.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mare,Cuadro,2025 - Q3,0.7777777777777778,18.0,24.0,50.0,14.0,12282290.742857,56759.03707200107,216.39357142857148,,Mare,50.0,14.0,36.0,12.282290742857,56.75903707200107,216.39357142857148,0.7777777777777778,24.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muralla,Grupo Troy,2025 - Q3,0.6666666666666666,36.0,6.0,28.0,24.0,27296864.583333,107928.29489291467,252.91666666666666,,Mura,28.0,24.0,4.0,27.296864583333,107.92829489291466,252.91666666666666,0.6666666666666666,6.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
