Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Nolah,Baja Capstone,2025 - Q3,1.1111111111111112,5.3999999999999995,9.0,16.0,6.0,12776596.4,101039.36734720776,126.45166666666667,,Nola,16.0,6.0,10.0,12.7765964,101.03936734720776,126.45166666666667,1.1111111111111112,9.0,5.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punto Nima,Fortem Capital,2025 - Q3,0.4444444444444444,4.5,58.0,47.0,2.0,12114600.0,100883.54082524877,120.08500000000001,,Puma,47.0,2.0,45.0,12.1146,100.88354082524877,120.08500000000001,0.4444444444444444,58.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laiva Art Walk,Otro,2025 - Q3,0.7777777777777778,6.428571428571429,21.0,35.0,5.0,9545280.0,88303.73001776199,108.096,,Walk,35.0,5.0,30.0,9.54528,88.30373001776199,108.096,0.7777777777777778,21.0,6.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Marina Place,Baja Capstone,2025 - Q3,0.1111111111111111,351.0,28.0,42.0,39.0,12235381.407692,85715.80292796623,142.74358974358975,,OneM,42.0,39.0,3.0,12.235381407692,85.71580292796622,142.74358974358975,0.1111111111111111,28.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santarena,Otro,2025 - Q3,2.4285714285714284,9.470588235294118,7.0,40.0,23.0,8811007.6173913,84273.08593100232,104.55304347826086,,Rena,40.0,23.0,17.0,8.811007617391299,84.27308593100233,104.55304347826086,2.4285714285714284,7.0,9.470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE CANYON ENTRE PIEDRAS,Otro,2025 - Q3,2.5555555555555554,8.608695652173914,9.0,45.0,22.0,16171433.04587809,81115.25923605061,199.36363636363637,,Cany,45.0,22.0,23.0,16.17143304587809,81.1152592360506,199.36363636363637,2.5555555555555554,9.0,8.608695652173914,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Casa Nima,Central de Arquitectura,2025 - Q3,0.4444444444444444,83.25,38.0,93.0,37.0,10149575.675676,78067.8161301882,130.00972972972968,,Nima,93.0,37.0,56.0,10.149575675676,78.0678161301882,130.00972972972968,0.4444444444444444,38.0,83.25,,ID,Vera,Vale,Emma,Nort,Rese,Tuga,Lana,Mura,Duna,Weli,Nola,Puma,Walk,OneM,Rena,Cany,Nima,Ceni,Cosu,Hide,Hils,Avit,Alan,Vita,Cora,Para,Colo,Mare,Suse
Cenit,Baja Capstone,2025 - Q3,1.6666666666666667,15.6,46.0,59.0,26.0,16223427.0,77313.31967213114,209.84,,Ceni,59.0,26.0,33.0,16.223427,77.31331967213114,209.84,1.6666666666666667,46.0,15.6,,Stock Inicial,22,12,16,20,16,45,30,28,65,33,16,47,35,42,40,45,93,59,26,85,20,16,47,48,66,14,35,50,22
Cora Sur,Grupo Habitat,2025 - Q3,0.2222222222222222,63.0,16.0,26.0,14.0,10337928.814286,74682.91247407245,138.42428571428573,,Cosu,26.0,14.0,12.0,10.337928814285998,74.68291247407245,138.42428571428573,0.2222222222222222,16.0,63.0,,Inventario,3,10,3,6,5,23,23,24,42,8,6,2,5,39,23,22,37,26,14,75,9,16,40,48,2,13,1,14,14
Hideaways,Otro,2025 - Q3,1,75.0,10.0,85.0,75.0,7237248.376000026,68479.29867190508,105.68520000000004,,Hide,85.0,75.0,10.0,7.237248376000026,68.47929867190508,105.68520000000004,1.0,10.0,75.0,,Ventas ,19,2,13,14,11,22,7,4,23,25,10,45,30,3,17,23,56,33,12,10,11,0,7,0,64,1,34,36,8
Colorado Hills Fase II,Si Soluciones Inmobiliarias,2025 - Q3,0.1111111111111111,81.0,36.0,20.0,9.0,8843373.3333333,67491.78298254812,131.0288888888889,,Hils,20.0,9.0,11.0,8.8433733333333,67.49178298254812,131.0288888888889,0.1111111111111111,36.0,81.0,,Ticket ($M),77.775,57.03195,68.747,90.1275,45.8232,24.072456521739,31.062260869564998,27.296864583333,21.153086187571,20.00761875,12.7765964,12.1146,9.54528,12.235381407692,8.811007617391299,16.17143304587809,10.149575675676,16.223427,10.337928814285998,7.237248376000026,8.8433733333333,10.8580190625,6.6922400025,7.297544375,20.2214817,7.6817769230768995,5.668425,12.282290742857,6.7757736857143
Avita Living San Jose T. Agave,Otro,2025 - Q3,0,0.0,7.0,16.0,16.0,10858019.0625,66360.4366011574,163.621875,,Avit,16.0,16.0,0.0,10.8580190625,66.3604366011574,163.621875,0.0,7.0,0.0,,$xm2 ($k),217.6133184107443,201.1354258508199,185.92832995267074,144.89951768488746,142.30807453416148,127.16272393201582,112.88817397652191,107.92829489291466,101.68588987959048,101.29926965723256,101.03936734720776,100.88354082524877,88.30373001776199,85.71580292796622,84.27308593100233,81.1152592360506,78.0678161301882,77.31331967213114,74.68291247407245,68.47929867190508,67.49178298254812,66.3604366011574,65.5692153433516,65.02118540243544,64.57442663260419,61.609661299278,58.96011025587685,56.75903707200107,54.54906935020138
Alana Cerro Colorado,Grupo VEQ,2025 - Q3,0.7777777777777778,51.42857142857143,9.0,47.0,40.0,6692240.0025,65569.2153433516,102.06374999999996,,Alan,47.0,40.0,7.0,6.6922400025,65.5692153433516,102.06374999999996,0.7777777777777778,9.0,51.42857142857143,,Superficie,357.3999999999999,283.55000000000007,369.75,622,322,189.30434782608697,275.15956521739133,252.91666666666666,208.02380952380952,197.51,126.45166666666667,120.08500000000001,108.096,142.74358974358975,104.55304347826086,199.36363636363637,130.00972972972968,209.84,138.42428571428573,105.68520000000004,131.0288888888889,163.621875,102.06374999999996,112.23333333333328,313.15,124.68461538461537,96.14,216.39357142857148,124.21428571428571
Vitai T1,Otro,2025 - Q3,0,0.0,1.0,48.0,48.0,7297544.375,65021.18540243543,112.23333333333328,,Vita,48.0,48.0,0.0,7.297544375,65.02118540243544,112.23333333333328,0.0,1.0,0.0,,Absorción 2025,0.1111111111111111,0,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,2.5555555555555554,0.5555555555555556,1.1111111111111112,0.4444444444444444,0.7777777777777778,0.1111111111111111,2.4285714285714284,2.5555555555555554,0.4444444444444444,1.6666666666666667,0.2222222222222222,1,0.1111111111111111,0,0.7777777777777778,0,0.2222222222222222,0.1111111111111111,0,0.7777777777777778,0
Cora,Grupo Habitat,2025 - Q3,0.2222222222222222,9.0,45.0,66.0,2.0,20221481.7,64574.42663260418,313.15,,Cora,66.0,2.0,64.0,20.2214817,64.57442663260419,313.15,0.2222222222222222,45.0,9.0,,Meses Mercado,113,33,29,46,20,37,17,6,9,41,9,58,21,28,7,9,38,46,16,10,36,7,9,1,45,12,49,24,33
Paramo,Otro,2025 - Q3,0.1111111111111111,117.0,12.0,14.0,13.0,7681776.9230769,61609.661299278,124.68461538461537,,Para,14.0,13.0,1.0,7.6817769230768995,61.609661299278,124.68461538461537,0.1111111111111111,12.0,117.0,,Meses de Inv.,27,0,0,27,45,207,207,36,16.434782608695652,14.399999999999999,5.3999999999999995,4.5,6.428571428571429,351,9.470588235294118,8.608695652173914,83.25,15.6,63,75,81,0,51.42857142857143,0,9,117,0,18,0
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0,0.0,49.0,35.0,1.0,5668425.0,58960.11025587685,96.14,,Colo,35.0,1.0,34.0,5.668425,58.96011025587685,96.14,0.0,49.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mare,Cuadro,2025 - Q3,0.7777777777777778,18.0,24.0,50.0,14.0,12282290.742857,56759.03707200107,216.39357142857148,,Mare,50.0,14.0,36.0,12.282290742857,56.75903707200107,216.39357142857148,0.7777777777777778,24.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun & Sea condos,Construyendo Alkimia,2025 - Q3,0,0.0,33.0,22.0,14.0,6775773.6857143,54549.06935020138,124.21428571428571,,Suse,22.0,14.0,8.0,6.7757736857143,54.54906935020138,124.21428571428571,0.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ID,Vera,Vale,Emma,Nort,Rese,Tuga,Lana,Mura,Duna,Weli,Nola,Puma,Walk,OneM,Rena,Cany,Nima,Ceni,Cosu,Hide,Hils,Avit,Alan,Vita,Cora,Para,Colo,Mare,Suse
,,,,,,,,,,,,,,,,,,,,,,,Stock Inicial,22,12,16,20,16,45,30,28,65,33,16,47,35,42,40,45,93,59,26,85,20,16,47,48,66,14,35,50,22
,,,,,,,,,,,,,,,,,,,,,,,Inventario,3,10,3,6,5,23,23,24,42,8,6,2,5,39,23,22,37,26,14,75,9,16,40,48,2,13,1,14,14
,,,,,,,,,,,,,,,,,,,,,,,Ventas ,19,2,13,14,11,22,7,4,23,25,10,45,30,3,17,23,56,33,12,10,11,0,7,0,64,1,34,36,8
,,,,,,,,,,,,,,,,,,,,,,,Ticket ($M),77.775,57.03195,68.747,90.1275,45.8232,24.072456521739,31.062260869564998,27.296864583333,21.153086187571,20.00761875,12.7765964,12.1146,9.54528,12.235381407692,8.811007617391299,16.17143304587809,10.149575675676,16.223427,10.337928814285998,7.237248376000026,8.8433733333333,10.8580190625,6.6922400025,7.297544375,20.2214817,7.6817769230768995,5.668425,12.282290742857,6.7757736857143
,,,,,,,,,,,,,,,,,,,,,,,$xm2 ($k),217.6133184107443,201.1354258508199,185.92832995267074,144.89951768488746,142.30807453416148,127.16272393201582,112.88817397652191,107.92829489291466,101.68588987959048,101.29926965723256,101.03936734720776,100.88354082524877,88.30373001776199,85.71580292796622,84.27308593100233,81.1152592360506,78.0678161301882,77.31331967213114,74.68291247407245,68.47929867190508,67.49178298254812,66.3604366011574,65.5692153433516,65.02118540243544,64.57442663260419,61.609661299278,58.96011025587685,56.75903707200107,54.54906935020138
,,,,,,,,,,,,,,,,,,,,,,,Superficie,357.3999999999999,283.55000000000007,369.75,622,322,189.30434782608697,275.15956521739133,252.91666666666666,208.02380952380952,197.51,126.45166666666667,120.08500000000001,108.096,142.74358974358975,104.55304347826086,199.36363636363637,130.00972972972968,209.84,138.42428571428573,105.68520000000004,131.0288888888889,163.621875,102.06374999999996,112.23333333333328,313.15,124.68461538461537,96.14,216.39357142857148,124.21428571428571
,,,No modificar filtros,,,,,,,,,,,,,,,,,,,,Absorción,0.1111111111111111,0,0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,2.5555555555555554,0.5555555555555556,1.1111111111111112,0.4444444444444444,0.7777777777777778,0.1111111111111111,2.4285714285714284,2.5555555555555554,0.4444444444444444,1.6666666666666667,0.2222222222222222,1,0.1111111111111111,0,0.7777777777777778,0,0.2222222222222222,0.1111111111111111,0,0.7777777777777778,0
,,,,,,,,,,,,,,,,,,,,,,,Meses Mercado,113,33,29,46,20,37,17,6,9,41,9,58,21,28,7,9,38,46,16,10,36,7,9,1,45,12,49,24,33
,,,,,,,,,,,,,,,,,,,,,,,Meses de Inv.,27,0,0,27,45,207,207,36,16.434782608695652,14.399999999999999,5.3999999999999995,4.5,6.428571428571429,351,9.470588235294118,8.608695652173914,83.25,15.6,63,75,81,0,51.42857142857143,0,9,117,0,18,0
