Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-02 - PT-05,8613352.615689654,82820.69822778513,104,2 Recámaras,2.0,1,16,0,58,16,0.27586206896551724,,,,,Absorción,6.495098039215685,0.75,18.992119112397752,0.9583333333333333,1.7505785408262187,0.17647058823529413,,,,,
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-06 - PT-07,9401315.528947368,83940.31722274436,112,2 Recámaras,2.0,1,8,1,58,7,0.1206896551724138,,,,,Meses de Inv.,7.8520754716981145,21.333333333333332,33.856148236784165,0,3.9986780579957397,5.666666666666666,,,,,
CAB-05681,Punto Nima,Fortem Capital,Tradicional,PT-08,9031515.625263158,84406.68808657158,107,2 Recámaras,2.0,1,2,0,58,2,0.034482758620689655,,,,,,,,,,,,,,,,
CAB-05678,Wen Living ,Awen Developers,Tradicional,Energy A,11336662.5,59666.64473684211,190,2 Recámaras,2.0,1,3,1,41,2,0.04878048780487805,,,,,,,,,,,,,,,,
CAB-05678,Wen Living ,Awen Developers,Tradicional,Energy B,13621079.989062501,83564.9079083589,163,2 Recámaras,2.0,1,3,0,41,3,0.07317073170731707,,,,,,,,,,,,,,,,
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity A,21942454.483809523,102057.9278316722,215,2 Recámaras,2.0,1,2,2,41,0,0,,,,,,,,,,,,,,,,
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity B,13960345.263157895,84098.4654407102,166,2 Recámaras,2.0,1,4,0,41,4,0.0975609756097561,,,,,,,,,,,,,,,,
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity C,13526257.267857144,71567.49877173091,189,2 Recámaras,2.0,1,1,1,41,0,0,,,,,,,,,,,,,,,,
CAB-05677,Wen Living ,Awen Developers,Tradicional,Prosperity D,13258353.75,83913.63132911392,158,2 Recámaras,2.0,1,2,0,41,2,0.04878048780487805,,,,,,,,,,,,,,,,
CAB-05676,Wen Living ,Awen Developers,Tradicional,Balance A,14914375.785925925,69048.03604595335,216,2 Recámaras,2.0,1,2,1,41,1,0.024390243902439025,,,,,,,,,,,,,,,,
CAB-05676,Wen Living ,Awen Developers,Tradicional,Balance B,14439665.836875,86465.06489146706,167,2 Recámaras,2.0,1,4,1,41,3,0.07317073170731707,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth A,14041551.324000001,90009.94438461539,156,2 Recámaras,2.0,1,2,0,41,2,0.04878048780487805,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth B,13722094.345,66612.10847087379,206,2 Recámaras,2.0,1,1,1,41,0,0,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth C,15026520.555555554,84418.65480649188,178,2 Recámaras,2.0,1,2,1,41,1,0.024390243902439025,,,,,,,,,,,,,,,,
CAB-05675,Wen Living ,Awen Developers,Tradicional,Growth D,13586012.298000002,75477.84610000001,180,2 Recámaras,2.0,1,2,0,41,2,0.04878048780487805,,,,,,,,,,,,,,,,
