Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
THE CANYON ENTRE PIEDRAS,Otro,2025 - Q3,2.5555555555555554,8.608695652173914,9.0,45.0,22.0,16171433.04587809,81115.25923605061,199.36363636363637,,Cany,45.0,22.0,23,16.17143304587809,81.1152592360506,199.36363636363637,2.5555555555555554,9.0,8.608695652173914,,,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138,19.06896551724138
Avita Living San Jose T. Agave,Otro,2025 - Q3,0,0.0,7.0,16.0,16.0,10858019.0625,66360.4366011574,163.621875,,Avit,16.0,16.0,0,10.8580190625,66.3604366011574,163.621875,0.0,7.0,0.0,,ID,Hide,Vita,Duna,Alan,OneM,Nima,Ceni,Mura,Rena,Lana,Tuga,Cany,Avit,Mare,Cosu,Suse,Para,Vale,Hils,Weli,Nola,Nort,Walk,Rese,Vera,Emma,Puma,Cora,Colo
Mare,Cuadro,2025 - Q3,0.7777777777777778,18.0,24.0,50.0,14.0,12282290.742857,56759.03707200107,216.39357142857148,,Mare,50.0,14.0,36,12.282290742857,56.75903707200107,216.39357142857148,0.7777777777777778,24.0,18.0,,Stock Inicial,85,48,65,47,42,93,59,28,40,30,45,45,16,50,26,22,14,12,20,33,16,20,35,16,22,16,47,66,35
Cora Sur,Grupo Habitat,2025 - Q3,0.2222222222222222,63.0,16.0,26.0,14.0,10337928.814286,74682.91247407245,138.42428571428573,,Cosu,26.0,14.0,12,10.337928814285998,74.68291247407245,138.42428571428573,0.2222222222222222,16.0,63.0,,Inventario,75,48,42,40,39,37,26,24,23,23,23,22,16,14,14,14,13,10,9,8,6,6,5,5,3,3,2,2,1
Sun & Sea condos,Construyendo Alkimia,2025 - Q3,0,0.0,33.0,22.0,14.0,6775773.6857143,54549.06935020138,124.21428571428571,,Suse,22.0,14.0,8,6.7757736857143,54.54906935020138,124.21428571428571,0.0,33.0,0.0,,Ventas ,10,0,23,7,3,56,33,4,17,7,22,23,0,36,12,8,1,2,11,25,10,14,30,11,19,13,45,64,34
Paramo,Otro,2025 - Q3,0.1111111111111111,117.0,12.0,14.0,13.0,7681776.9230769,61609.661299278,124.68461538461537,,Para,14.0,13.0,1,7.6817769230768995,61.609661299278,124.68461538461537,0.1111111111111111,12.0,117.0,,Ticket ($M),7.237248376000026,7.297544375,21.153086187571,6.6922400025,12.235381407692,10.149575675676,16.223427,27.296864583333,8.811007617391299,31.062260869564998,24.072456521739,16.17143304587809,10.8580190625,12.282290742857,10.337928814285998,6.7757736857143,7.6817769230768995,57.03195,8.8433733333333,20.00761875,12.7765964,90.1275,9.54528,45.8232,77.775,68.747,12.1146,20.2214817,5.668425
El Valle,Otro,2025 - Q3,0,0.0,33.0,12.0,10.0,57031950.0,201135.4258508199,283.55000000000007,,Vale,12.0,10.0,2,57.03195,201.1354258508199,283.55000000000007,0.0,33.0,0.0,,$xm2 ($k),68.47929867190508,65.02118540243544,101.68588987959048,65.5692153433516,85.71580292796622,78.0678161301882,77.31331967213114,107.92829489291466,84.27308593100233,112.88817397652191,127.16272393201582,81.1152592360506,66.3604366011574,56.75903707200107,74.68291247407245,54.54906935020138,61.609661299278,201.1354258508199,67.49178298254812,101.29926965723256,101.03936734720776,144.89951768488746,88.30373001776199,142.30807453416148,217.6133184107443,185.92832995267074,100.88354082524877,64.57442663260419,58.96011025587685
Colorado Hills Fase II,Si Soluciones Inmobiliarias,2025 - Q3,0.1111111111111111,81.0,36.0,20.0,9.0,8843373.3333333,67491.78298254812,131.0288888888889,,Hils,20.0,9.0,11,8.8433733333333,67.49178298254812,131.0288888888889,0.1111111111111111,36.0,81.0,,Superficie,105.68520000000004,112.23333333333328,208.02380952380952,102.06374999999996,142.74358974358975,130.00972972972968,209.84,252.91666666666666,104.55304347826086,275.15956521739133,189.30434782608697,199.36363636363637,163.621875,216.39357142857148,138.42428571428573,124.21428571428571,124.68461538461537,283.55000000000007,131.0288888888889,197.51,126.45166666666667,622,108.096,322,357.3999999999999,369.75,120.08500000000001,313.15,96.14
Wen Living,Awen Developers,2025 - Q3,0.5555555555555556,14.399999999999999,41.0,33.0,8.0,20007618.75,101299.26965723255,197.51,,Weli,33.0,8.0,25,20.00761875,101.29926965723256,197.51,0.5555555555555556,41.0,14.399999999999999,,Absorción 2025,1,0,2.5555555555555554,0.7777777777777778,0.1111111111111111,0.4444444444444444,1.6666666666666667,0.6666666666666666,2.4285714285714284,0.1111111111111111,0.1111111111111111,2.5555555555555554,0,0.7777777777777778,0.2222222222222222,0,0.1111111111111111,0,0.1111111111111111,0.5555555555555556,1.1111111111111112,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0,0.4444444444444444,0.2222222222222222,0
Nolah,Baja Capstone,2025 - Q3,1.1111111111111112,5.3999999999999995,9.0,16.0,6.0,12776596.4,101039.36734720776,126.45166666666667,,Nola,16.0,6.0,10,12.7765964,101.03936734720776,126.45166666666667,1.1111111111111112,9.0,5.3999999999999995,,Meses Mercado,10,1,9,9,28,38,46,6,7,17,37,9,7,24,16,33,12,33,36,41,9,46,21,20,113,29,58,45,49
