Proyecto,Desarrollador,Último Trimestre,Absorción por Proyecto,Meses de Inventario,Meses en el Mercado,Unidades Totales,Unidades Inventario,Precio Promedio Inv.,$M2 Promedio Inv,M2 Promedio Inv,Unnamed: 11,ID,Stock Inicial,Inventario,Ventas ,Ticket ($M),$xm2 ($k),Superficie,Absorción,Meses Mercado,Meses de Inv.,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
Colorado Hills Fase 1,Si Soluciones Inmobiliarias,2025 - Q3,0.0,0.0,49.0,35.0,1.0,5668425.0,58960.11025587685,96.14,,Colo,35.0,1.0,34.0,5.668425,58.96011025587685,96.14,0.0,49.0,0.0,,ID,Nort,Emma,Vera,Rese,Cora,Vale,Lana,Mura,Mare,Ceni,Duna,Cany,Weli,Tuga,Avit,OneM,Cosu,Hils,Nima,Nola,Para,Suse,Puma,Vita,Walk,Hide,Rena,Alan,Colo
,,,,,,,,,,,,,,,,,,,,,,,Stock Inicial,20,16,22,16,66,12,30,28,50,59,65,45,33,45,16,42,26,20,93,16,14,22,47,48,35,85,40,47,35
,,,,,,,,,,,,,,,,,,,,,,,Inventario,6,3,3,5,2,10,23,24,14,26,42,22,8,23,16,39,14,9,37,6,13,14,2,48,5,75,23,40,1
,,,,,,,,,,,,,,,,,,,,,,,Ventas ,14,13,19,11,64,2,7,4,36,33,23,23,25,22,0,3,12,11,56,10,1,8,45,0,30,10,17,7,34
,,,,,,,,,,,,,,,,,,,,,,,Ticket ($M),90.1275,68.747,77.775,45.8232,20.2214817,57.03195,31.062260869564998,27.296864583333,12.282290742857,16.223427,21.153086187571,16.17143304587809,20.00761875,24.072456521739,10.8580190625,12.235381407692,10.337928814285998,8.8433733333333,10.149575675676,12.7765964,7.6817769230768995,6.7757736857143,12.1146,7.297544375,9.54528,7.237248376000026,8.811007617391299,6.6922400025,5.668425
,,,,,,,,,,,,,,,,,,,,,,,$xm2 ($k),144.89951768488746,185.92832995267074,217.6133184107443,142.30807453416148,64.57442663260419,201.1354258508199,112.88817397652191,107.92829489291466,56.75903707200107,77.31331967213114,101.68588987959048,81.1152592360506,101.29926965723256,127.16272393201582,66.3604366011574,85.71580292796622,74.68291247407245,67.49178298254812,78.0678161301882,101.03936734720776,61.609661299278,54.54906935020138,100.88354082524877,65.02118540243544,88.30373001776199,68.47929867190508,84.27308593100233,65.5692153433516,58.96011025587685
,,,,,,,,,,,,,,,,,,,,,,,Superficie,622,369.75,357.3999999999999,322,313.15,283.55000000000007,275.15956521739133,252.91666666666666,216.39357142857148,209.84,208.02380952380952,199.36363636363637,197.51,189.30434782608697,163.621875,142.74358974358975,138.42428571428573,131.0288888888889,130.00972972972968,126.45166666666667,124.68461538461537,124.21428571428571,120.08500000000001,112.23333333333328,108.096,105.68520000000004,104.55304347826086,102.06374999999996,96.14
,,,,,,,,,,,,,,,,,,,,,,,Absorción,0.2222222222222222,0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,0.1111111111111111,0.6666666666666666,0.7777777777777778,1.6666666666666667,2.5555555555555554,2.5555555555555554,0.5555555555555556,0.1111111111111111,0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,1.1111111111111112,0.1111111111111111,0,0.4444444444444444,0,0.7777777777777778,1,2.4285714285714284,0.7777777777777778,0
,,,,,,,,,,,,,,,,,,,,,,,Meses Mercado,46,29,113,20,45,33,17,6,24,46,9,9,41,37,7,28,16,36,38,9,12,33,58,1,21,10,7,9,49
,,,,,,,,,,,,,,,,,,,,,,,Meses de Inv.,27,0,27,45,9,0,207,36,18,15.6,16.434782608695652,8.608695652173914,14.399999999999999,207,0,351,63,81,83.25,5.3999999999999995,117,0,4.5,0,6.428571428571429,75,9.470588235294118,51.42857142857143,0
